#    object_id            ra              dec               x                y          realized_flux         flux             mag            obj_type     
  10430000711704   7.49020314e+00  -4.47946518e+01   3.01066478e+03   2.80001286e+03   4.10700000e+03   4.05721669e+03   6.00297668e+00           galaxy
  10430000712304   7.45462309e+00  -4.47902928e+01   2.38110438e+03   3.39699747e+03   2.55000000e+02   2.39366278e+02   9.07588978e+00           galaxy
  10430000712608   7.33704825e+00  -4.48077837e+01  -2.70841913e+02   4.42147005e+03   9.00300000e+03   8.93119533e+03   5.14627322e+00           galaxy
  10430000712609   7.33872437e+00  -4.48103036e+01  -2.82468698e+02   4.32472516e+03   1.83000000e+03   1.79590417e+03   6.88783929e+00           galaxy
  10430000712611   7.33681070e+00  -4.48077407e+01  -2.74800820e+02   4.42586207e+03   7.00000000e+01   5.69128288e+01   1.06355218e+01           galaxy
  10430000712612   7.33400346e+00  -4.48085521e+01  -3.45158418e+02   4.43858130e+03   1.56000000e+02   1.42175594e+02   9.64148456e+00           galaxy
  10430000712613   7.33873723e+00  -4.48079410e+01  -2.40033906e+02   4.39466342e+03   3.66000000e+02   3.48087268e+02   8.66932684e+00           galaxy
  10430000712615   7.33776378e+00  -4.48055057e+01  -2.15933389e+02   4.47968718e+03   5.54000000e+02   5.33614544e+02   8.20547805e+00           galaxy
  10430000712617   7.33423207e+00  -4.48079588e+01  -3.30018161e+02   4.45318918e+03   8.70000000e+01   7.44184048e+01   1.03443463e+01           galaxy
  10430000713022   7.36439220e+00  -4.48225318e+01   9.90201085e+00   3.62539697e+03   2.19000000e+02   2.03969392e+02   9.24963469e+00           galaxy
  10430000713742   7.51790207e+00  -4.48187899e+01   3.12894069e+03   1.72036742e+03   4.67400000e+03   4.62132629e+03   5.86163061e+00           galaxy
  10430000714441   7.44749408e+00  -4.49207232e+01  -9.40934724e+01  -3.76403364e+02   2.47700000e+03   2.43716565e+03   6.55633457e+00           galaxy
  10430000714607   7.50825742e+00  -4.47462085e+01   4.23727772e+03   3.99812600e+03   2.26000000e+02   2.10534138e+02   9.21524087e+00           galaxy
  10430000714657   7.43324433e+00  -4.49165590e+01  -3.02442985e+02  -6.61156707e+01   2.37000000e+02   2.21192335e+02   9.16162201e+00           galaxy
